record_type,configuration,ceiling,n_training_rows_total,n_training_rows_above_ceiling,pct_training_rows_above_ceiling,n_distinct_states,n_distinct_feature_months,feature_months_involved,n_test_rows_above_ceiling,state,feature_month,target_month,price_ngn,target_price_next_month
summary,"original (untuned, 300 trees)",1447.213,925.0,28.0,3.027,10.0,4.0,2024-12;2025-01;2025-02;2025-03,69.0,,,,,
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Jigawa,2025-01,2025-02,1530.0,1730.0
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Jigawa,2025-02,2025-03,1730.0,1700.0
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Sokoto,2025-01,2025-02,1330.0,1680.0
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Kaduna,2025-01,2025-02,1638.3333,1660.0
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Kaduna,2025-02,2025-03,1660.0,1650.0
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Kaduna,2024-12,2025-01,1161.2,1638.3333
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Imo,2025-03,2025-04,1524.15,1588.4986
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Kano,2025-01,2025-02,1541.6667,1587.5
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Jigawa,2025-03,2025-04,1700.0,1567.8426
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Cross River,2025-02,2025-03,1477.7778,1563.8639
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Sokoto,2025-03,2025-04,1550.0,1550.0
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Sokoto,2025-02,2025-03,1680.0,1550.0
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Kano,2024-12,2025-01,1152.1429,1541.6667
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Enugu,2025-03,2025-04,1500.0,1533.4083
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Kano,2025-02,2025-03,1587.5,1530.5588
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Jigawa,2024-12,2025-01,1258.4615,1530.0
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Imo,2025-02,2025-03,1500.0,1524.15
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Imo,2025-01,2025-02,1466.6667,1500.0
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Enugu,2025-01,2025-02,1433.3333,1500.0
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Enugu,2025-02,2025-03,1500.0,1500.0
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Cross River,2024-12,2025-01,1228.1875,1483.3333
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Cross River,2025-01,2025-02,1483.3333,1477.7778
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Katsina,2025-02,2025-03,1436.1111,1474.4214
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Katsina,2024-12,2025-01,1187.5,1469.4444
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Imo,2024-12,2025-01,1198.8891,1466.6667
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Benue,2025-02,2025-03,1450.0,1451.6933
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Plateau,2025-02,2025-03,1446.9922,1450.7982
row,"original (untuned, 300 trees)",1447.213,,,,,,,,Benue,2025-01,2025-02,1411.1111,1450.0
summary,capacity-controlled (CV-selected on V0),1308.8712,925.0,52.0,5.6216,16.0,5.0,2024-10;2024-12;2025-01;2025-02;2025-03,85.0,,,,,
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Jigawa,2025-01,2025-02,1530.0,1730.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Jigawa,2025-02,2025-03,1730.0,1700.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Sokoto,2025-01,2025-02,1330.0,1680.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Kaduna,2025-01,2025-02,1638.3333,1660.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Kaduna,2025-02,2025-03,1660.0,1650.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Kaduna,2024-12,2025-01,1161.2,1638.3333
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Imo,2025-03,2025-04,1524.15,1588.4986
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Kano,2025-01,2025-02,1541.6667,1587.5
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Jigawa,2025-03,2025-04,1700.0,1567.8426
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Cross River,2025-02,2025-03,1477.7778,1563.8639
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Sokoto,2025-02,2025-03,1680.0,1550.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Sokoto,2025-03,2025-04,1550.0,1550.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Kano,2024-12,2025-01,1152.1429,1541.6667
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Enugu,2025-03,2025-04,1500.0,1533.4083
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Kano,2025-02,2025-03,1587.5,1530.5588
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Jigawa,2024-12,2025-01,1258.4615,1530.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Imo,2025-02,2025-03,1500.0,1524.15
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Imo,2025-01,2025-02,1466.6667,1500.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Enugu,2025-01,2025-02,1433.3333,1500.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Enugu,2025-02,2025-03,1500.0,1500.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Cross River,2024-12,2025-01,1228.1875,1483.3333
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Cross River,2025-01,2025-02,1483.3333,1477.7778
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Katsina,2025-02,2025-03,1436.1111,1474.4214
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Katsina,2024-12,2025-01,1187.5,1469.4444
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Imo,2024-12,2025-01,1198.8891,1466.6667
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Benue,2025-02,2025-03,1450.0,1451.6933
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Plateau,2025-02,2025-03,1446.9922,1450.7982
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Benue,2025-01,2025-02,1411.1111,1450.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Plateau,2025-01,2025-02,1446.9922,1446.9922
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Plateau,2024-12,2025-01,1260.0,1446.9922
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Katsina,2025-01,2025-02,1469.4444,1436.1111
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Enugu,2024-12,2025-01,1278.4667,1433.3333
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Taraba,2024-12,2025-01,1307.0499,1433.3333
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Benue,2024-12,2025-01,1234.5455,1411.1111
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Adamawa,2025-02,2025-03,1400.0,1400.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Adamawa,2025-01,2025-02,1350.0,1400.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Kaduna,2025-03,2025-04,1650.0,1395.0444
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Niger,2025-01,2025-02,1386.6862,1386.6862
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Niger,2024-12,2025-01,1176.0714,1386.6862
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Adamawa,2025-03,2025-04,1400.0,1370.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Taraba,2025-01,2025-02,1433.3333,1366.6667
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Benue,2024-10,2024-11,1127.3728,1365.1629
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Delta,2024-12,2025-01,1282.7143,1364.2857
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Taraba,2025-02,2025-03,1366.6667,1353.9533
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Adamawa,2024-12,2025-01,1301.3333,1350.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Benue,2025-03,2025-04,1451.6933,1341.3434
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Borno,2024-10,2024-11,1283.7857,1331.9444
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Sokoto,2024-12,2025-01,1113.3333,1330.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Adamawa,2024-10,2024-11,1210.925,1319.8472
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Niger,2025-03,2025-04,1309.0,1309.54
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Niger,2025-02,2025-03,1386.6862,1309.0
row,capacity-controlled (CV-selected on V0),1308.8712,,,,,,,,Rivers,2024-12,2025-01,1164.9063,1308.8889
