vendor_name,year_month,trip_count,pcra_count,pcra_pct
"Creative Mobile Technologies, LLC",2024-01,729015,48411,6.640604
"Creative Mobile Technologies, LLC",2024-02,735393,57325,7.795152
"Creative Mobile Technologies, LLC",2024-03,867467,103310,11.909387
"Creative Mobile Technologies, LLC",2024-04,850955,92294,10.845932
"Creative Mobile Technologies, LLC",2024-05,895884,85427,9.535498
"Creative Mobile Technologies, LLC",2024-06,837987,80646,9.623777
"Creative Mobile Technologies, LLC",2024-07,716721,55521,7.746529
"Creative Mobile Technologies, LLC",2024-08,679306,48062,7.075162
"Creative Mobile Technologies, LLC",2024-09,826111,83484,10.105664
"Creative Mobile Technologies, LLC",2024-10,892044,70878,7.945572
"Creative Mobile Technologies, LLC",2024-11,845536,70859,8.380365
"Creative Mobile Technologies, LLC",2024-12,828418,67746,8.177756
"Curb Mobility, LLC",2024-01,2196920,89346,4.066875
"Curb Mobility, LLC",2024-02,2230551,123539,5.538497
"Curb Mobility, LLC",2024-03,2654947,307886,11.596691
"Curb Mobility, LLC",2024-04,2604151,301776,11.588268
"Curb Mobility, LLC",2024-05,2766371,307673,11.121899
"Curb Mobility, LLC",2024-06,2637990,316609,12.001903
"Curb Mobility, LLC",2024-07,2300145,214692,9.333846
"Curb Mobility, LLC",2024-08,2240329,204838,9.143211
"Curb Mobility, LLC",2024-09,2732119,382287,13.992326
"Curb Mobility, LLC",2024-10,2864897,308293,10.76105
"Curb Mobility, LLC",2024-11,2726949,290920,10.668333
"Curb Mobility, LLC",2024-12,2759271,248291,8.998427
Myle Technologies Inc,2024-01,208,208,100.0
Myle Technologies Inc,2024-03,358,358,100.0
Myle Technologies Inc,2024-04,232,232,100.0
Myle Technologies Inc,2024-05,185,185,100.0
Myle Technologies Inc,2024-06,9,9,100.0
Myle Technologies Inc,2024-09,80,80,100.0
Myle Technologies Inc,2024-10,52,52,100.0
Myle Technologies Inc,2024-11,173,173,100.0
Myle Technologies Inc,2024-12,326,326,100.0
