task,configuration,rung,n_per_seed,n_seeds,mean_dm_statistic,sd_dm_statistic,mean_p_value,n_seeds_rung_beats_ref_heuristic,n_seeds_significant_at_0.05,method
nigeria,capacity-controlled (CV-selected on V0),V0,185,20,9.3759,0.1029,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,capacity-controlled (CV-selected on V0),V1,185,20,9.3759,0.1029,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,capacity-controlled (CV-selected on V0),V2,185,20,10.3618,1.1066,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,capacity-controlled (CV-selected on V0),V3a,185,20,9.79,0.4053,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,capacity-controlled (CV-selected on V0),V3b,185,20,8.2728,0.5873,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,capacity-controlled (CV-selected on V0),V4a,185,20,8.9249,0.5279,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,capacity-controlled (CV-selected on V0),V4b,185,20,8.6309,0.7914,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,"original (untuned, 300 trees)",V0,185,20,7.374,0.0965,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,"original (untuned, 300 trees)",V1,185,20,7.374,0.0965,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,"original (untuned, 300 trees)",V2,185,20,7.7928,1.1575,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,"original (untuned, 300 trees)",V3a,185,20,6.5762,0.1194,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,"original (untuned, 300 trees)",V3b,185,20,6.3171,0.1707,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,"original (untuned, 300 trees)",V4a,185,20,6.6046,0.2243,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
nigeria,"original (untuned, 300 trees)",V4b,185,20,6.6677,0.2137,0.0,0,20,"per-seed DM test (h=1, lag=0 / no HAC adjustment), absolute-error loss, REF_heuristic (deterministic random walk) as the reference forecast; summary is the mean/sd of 20 independent per-seed DM statistics, not a single test on averaged predictions."
