task,configuration,rung,seed,n,mean_loss_diff,dm_statistic,p_value,rung_beats_ref,significant_at_0.05
nigeria,"original (untuned, 300 trees)",V0,1,185,29.7942,7.3273,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,2,185,31.0098,7.3403,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,3,185,30.6683,7.4394,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,4,185,29.3163,7.1315,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,5,185,30.3344,7.2702,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,6,185,30.8269,7.4236,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,7,185,31.3351,7.5333,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,8,185,29.8818,7.5353,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,9,185,29.5644,7.2594,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,10,185,31.188,7.399,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,11,185,30.0168,7.3346,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,12,185,30.738,7.4466,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,13,185,31.2892,7.4307,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,14,185,31.5498,7.4535,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,15,185,30.7577,7.4046,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,16,185,29.8679,7.3063,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,17,185,30.8829,7.3824,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,18,185,29.751,7.2802,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,19,185,31.2913,7.3684,0.0,False,True
nigeria,"original (untuned, 300 trees)",V0,20,185,30.5944,7.4127,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,1,185,29.7942,7.3273,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,2,185,31.0098,7.3403,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,3,185,30.6683,7.4394,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,4,185,29.3163,7.1315,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,5,185,30.3344,7.2702,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,6,185,30.8269,7.4236,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,7,185,31.3351,7.5333,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,8,185,29.8818,7.5353,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,9,185,29.5644,7.2594,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,10,185,31.188,7.399,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,11,185,30.0168,7.3346,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,12,185,30.738,7.4466,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,13,185,31.2892,7.4307,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,14,185,31.5498,7.4535,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,15,185,30.7577,7.4046,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,16,185,29.8679,7.3063,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,17,185,30.8829,7.3824,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,18,185,29.751,7.2802,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,19,185,31.2913,7.3684,0.0,False,True
nigeria,"original (untuned, 300 trees)",V1,20,185,30.5944,7.4127,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,1,185,54.9398,8.7597,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,2,185,82.4751,6.5942,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,3,185,83.6416,6.597,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,4,185,56.7351,8.8174,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,5,185,80.1166,6.4385,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,6,185,79.8401,6.4995,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,7,185,57.4472,8.8104,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,8,185,86.0155,6.7034,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,9,185,55.4915,8.792,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,10,185,56.1899,8.8247,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,11,185,80.5406,6.4863,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,12,185,57.3814,8.9454,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,13,185,55.8332,8.7805,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,14,185,82.1069,6.5127,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,15,185,54.9165,8.6332,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,16,185,56.6173,8.7556,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,17,185,80.1956,6.4827,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,18,185,55.907,8.7598,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,19,185,56.5275,9.0306,0.0,False,True
nigeria,"original (untuned, 300 trees)",V2,20,185,84.717,6.6319,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,1,185,85.9362,6.4522,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,2,185,85.5347,6.6157,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,3,185,87.4658,6.5432,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,4,185,90.8975,6.6313,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,5,185,91.2664,6.5993,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,6,185,92.2206,6.8055,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,7,185,93.7328,6.5376,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,8,185,95.4862,6.7685,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,9,185,96.5944,6.6816,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,10,185,83.9093,6.3507,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,11,185,85.3979,6.4175,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,12,185,87.1796,6.4036,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,13,185,95.3053,6.6867,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,14,185,90.2333,6.5991,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,15,185,91.2219,6.6234,0.0,False,True
