task,configuration,rung,n_observations,mean_loss_diff,dm_lag0_stat,dm_lag0_df,dm_lag0_p,dm_month_cluster_stat,dm_month_cluster_df,dm_month_cluster_p,n_month_clusters,dm_state_cluster_stat,dm_state_cluster_df,dm_state_cluster_p,n_state_clusters,rung_mae,ref_mae,dm_lag0_significant_0.05,dm_month_cluster_significant_0.05,dm_state_cluster_significant_0.05,loss_diff_definition
nigeria,"original (untuned, 300 trees)",V0,185,30.5329,7.3828,184,5.191e-12,1.4,4,0.2341,5,10.5419,36,1.489e-12,37,159.8349,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,"original (untuned, 300 trees)",V1,185,30.5329,7.3828,184,5.191e-12,1.4,4,0.2341,5,10.5419,36,1.489e-12,37,159.8349,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,"original (untuned, 300 trees)",V2,185,67.8818,7.5891,184,1.558e-12,1.161,4,0.3102,5,30.5073,36,2.551e-27,37,197.1838,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,"original (untuned, 300 trees)",V3a,185,90.154,6.5854,184,4.609e-10,1.0157,4,0.3672,5,24.9816,36,2.472e-24,37,219.456,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,"original (untuned, 300 trees)",V3b,185,78.0949,6.3282,184,1.841e-09,0.9583,4,0.3922,5,32.2521,36,3.691e-28,37,207.3969,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,"original (untuned, 300 trees)",V4a,185,84.0365,6.6113,184,4.001e-10,0.9993,4,0.3742,5,28.2689,36,3.562e-26,37,213.3385,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,"original (untuned, 300 trees)",V4b,185,83.461,6.6851,184,2.671e-10,1.0124,4,0.3686,5,33.5527,36,9.299e-29,37,212.7629,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,capacity-controlled (CV-selected on V0),V0,185,77.5632,9.3869,184,2.373e-17,1.474,4,0.2145,5,23.9765,36,9.99e-24,37,206.8652,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,capacity-controlled (CV-selected on V0),V1,185,77.5632,9.3869,184,2.373e-17,1.474,4,0.2145,5,23.9765,36,9.99e-24,37,206.8652,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,capacity-controlled (CV-selected on V0),V2,185,129.1141,10.5817,184,9.646e-21,1.6099,4,0.1827,5,32.7723,36,2.114e-28,37,258.4161,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,capacity-controlled (CV-selected on V0),V3a,185,116.4278,9.8247,184,1.4e-18,1.4986,4,0.2083,5,28.6497,36,2.245e-26,37,245.7298,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,capacity-controlled (CV-selected on V0),V3b,185,104.0212,8.2995,184,2.189e-14,1.2601,4,0.2761,5,31.7858,36,6.128e-28,37,233.3232,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,capacity-controlled (CV-selected on V0),V4a,185,107.8806,8.9437,184,3.984e-16,1.3567,4,0.2464,5,31.0509,36,1.382e-27,37,237.1826,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
nigeria,capacity-controlled (CV-selected on V0),V4b,185,107.272,8.6608,184,2.348e-15,1.3149,4,0.2589,5,30.8707,36,1.692e-27,37,236.574,129.302,True,False,True,seed-averaged |error| of rung minus |error| of REF_heuristic; positive = rung worse
