task,configuration,rung,description,feature_set,n_features,MAE_mean,MAE_sd,MAE_min,MAE_max,MAPE_mean,MAPE_sd,n_seeds
nigeria,reference (no model fitted),REF_mean,reference: predict the training mean price for every test row,,,327.3386,0.0,327.3386,327.3386,22.5437,0.0,20
nigeria,reference (no model fitted),REF_heuristic,reference: random walk -- next month's price = this month's price,,,129.302,0.0,129.302,129.302,9.5652,0.0,20
nigeria,"original (untuned, 300 trees)",V0,naive baseline: current month's raw price only,price_ngn,1.0,159.8349,0.6709,158.6183,160.8518,11.4883,0.0429,20
nigeria,capacity-controlled (CV-selected on V0),V0,naive baseline: current month's raw price only,price_ngn,1.0,206.8652,1.8907,204.1205,210.6316,14.3726,0.1179,20
nigeria,"original (untuned, 300 trees)",V1,"quality-gated: identical features, sourced from fact_fuel_price_monthly after the quality gate (0 of 1,147 rows rejected)",price_ngn,1.0,159.8349,0.6709,158.6183,160.8518,11.4883,0.0429,20
nigeria,capacity-controlled (CV-selected on V0),V1,"quality-gated: identical features, sourced from fact_fuel_price_monthly after the quality gate (0 of 1,147 rows rejected)",price_ngn,1.0,206.8652,1.8907,204.1205,210.6316,14.3726,0.1179,20
nigeria,"original (untuned, 300 trees)",V2,+ dimensional features: region_group (dim_geography) and month_of_year (dim_date),"price_ngn,region_group,month_of_year",3.0,197.1838,13.3655,184.2184,215.3175,13.8238,0.6821,20
nigeria,capacity-controlled (CV-selected on V0),V2,+ dimensional features: region_group (dim_geography) and month_of_year (dim_date),"price_ngn,region_group,month_of_year",3.0,258.4161,31.821,222.071,322.1252,17.8238,2.1581,20
nigeria,"original (untuned, 300 trees)",V3a,"LEAKY, DO NOT TRUST THIS NUMBER: + state_avg_price_leaky (this state's average price over ALL months, including future ones)","price_ngn,region_group,month_of_year,state_avg_price_leaky",4.0,219.456,3.7663,213.2112,225.8964,15.2565,0.2613,20
nigeria,capacity-controlled (CV-selected on V0),V3a,"LEAKY, DO NOT TRUST THIS NUMBER: + state_avg_price_leaky (this state's average price over ALL months, including future ones)","price_ngn,region_group,month_of_year,state_avg_price_leaky",4.0,245.7298,11.1671,228.7415,271.5814,16.9184,0.743,20
nigeria,"original (untuned, 300 trees)",V3b,"+ state_avg_price_pit (this state's average price, strictly-prior months only)","price_ngn,region_group,month_of_year,state_avg_price_pit",4.0,207.3969,1.7592,203.4233,211.8051,14.3735,0.1283,20
nigeria,capacity-controlled (CV-selected on V0),V3b,"+ state_avg_price_pit (this state's average price, strictly-prior months only)","price_ngn,region_group,month_of_year,state_avg_price_pit",4.0,233.3232,3.6852,226.1948,241.9752,15.9769,0.2457,20
nigeria,"original (untuned, 300 trees)",V4a,"+ state identity, ONE-HOT encoded (37 binary columns)","price_ngn,region_group,month_of_year,state_avg_price_pit,state (one-hot, 37 categories)",41.0,213.3385,2.2663,207.4601,216.9089,14.6038,0.1527,20
nigeria,capacity-controlled (CV-selected on V0),V4a,"+ state identity, ONE-HOT encoded (37 binary columns)","price_ngn,region_group,month_of_year,state_avg_price_pit,state (one-hot, 37 categories)",41.0,237.1826,4.3341,231.061,249.1086,16.2552,0.3054,20
nigeria,"original (untuned, 300 trees)",V4b,"+ state identity, POINT-IN-TIME TARGET encoded (1 numeric column)","price_ngn,region_group,month_of_year,state_avg_price_pit,state_target_enc",5.0,212.7629,2.1247,207.502,216.6497,14.7665,0.1434,20
nigeria,capacity-controlled (CV-selected on V0),V4b,"+ state identity, POINT-IN-TIME TARGET encoded (1 numeric column)","price_ngn,region_group,month_of_year,state_avg_price_pit,state_target_enc",5.0,236.574,7.2928,225.1038,254.4015,16.201,0.5199,20
