variant,rung,description,mae_ngn,mape_pct,mae_mean,mae_sd,mae_min,mae_max,mape_mean,mape_sd,mape_min,mape_max,n_repeats,seeds,notes,feature_set,n_features
reference (no model fitted),REF_mean,reference: predict the training mean price for every test row,327.3386,22.5437,327.3386,0.0,327.3386,327.3386,22.5437,0.0,22.5437,22.5437,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","no model, no features",,
reference (no model fitted),REF_heuristic,reference: random walk -- next month's price = this month's price,129.302,9.5652,129.302,0.0,129.302,129.302,9.5652,0.0,9.5652,9.5652,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",deterministic; zero spread across repeats,,
"original (untuned, 300 trees)",V0,naive baseline: current month's raw price only,159.0962,11.4416,159.8349,0.6709,158.6183,160.8518,11.4883,0.0429,11.4075,11.5521,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",no data engineering,price_ngn,1.0
capacity-controlled (CV-selected on V0),V0,naive baseline: current month's raw price only,205.848,14.3026,206.8652,1.8907,204.1205,210.6316,14.3726,0.1179,14.205,14.6065,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",no data engineering,price_ngn,1.0
"original (untuned, 300 trees)",V1,"quality-gated: identical features, sourced from fact_fuel_price_monthly after the quality gate (0 of 1,147 rows rejected)",159.0962,11.4416,159.8349,0.6709,158.6183,160.8518,11.4883,0.0429,11.4075,11.5521,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",V0 and V1 read identical validated rows,price_ngn,1.0
capacity-controlled (CV-selected on V0),V1,"quality-gated: identical features, sourced from fact_fuel_price_monthly after the quality gate (0 of 1,147 rows rejected)",205.848,14.3026,206.8652,1.8907,204.1205,210.6316,14.3726,0.1179,14.205,14.6065,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",V0 and V1 read identical validated rows,price_ngn,1.0
"original (untuned, 300 trees)",V2,+ dimensional features: region_group (dim_geography) and month_of_year (dim_date),184.2418,13.1491,197.1838,13.3655,184.2184,215.3175,13.8238,0.6821,13.1343,14.7873,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",conformed-dimension context,"price_ngn,region_group,month_of_year",3.0
capacity-controlled (CV-selected on V0),V2,+ dimensional features: region_group (dim_geography) and month_of_year (dim_date),289.6359,19.8975,258.4161,31.821,222.071,322.1252,17.8238,2.1581,15.3465,22.16,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",conformed-dimension context,"price_ngn,region_group,month_of_year",3.0
"original (untuned, 300 trees)",V3a,"LEAKY, DO NOT TRUST THIS NUMBER: + state_avg_price_leaky (this state's average price over ALL months, including future ones)",215.2381,14.9207,219.456,3.7663,213.2112,225.8964,15.2565,0.2613,14.8501,15.663,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",LEAKY -- future months present,"price_ngn,region_group,month_of_year,state_avg_price_leaky",4.0
capacity-controlled (CV-selected on V0),V3a,"LEAKY, DO NOT TRUST THIS NUMBER: + state_avg_price_leaky (this state's average price over ALL months, including future ones)",242.5188,16.7113,245.7298,11.1671,228.7415,271.5814,16.9184,0.743,15.7538,18.6516,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",LEAKY -- future months present,"price_ngn,region_group,month_of_year,state_avg_price_leaky",4.0
"original (untuned, 300 trees)",V3b,"+ state_avg_price_pit (this state's average price, strictly-prior months only)",205.1311,14.1762,207.3969,1.7592,203.4233,211.8051,14.3735,0.1283,14.1157,14.6001,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",point-in-time-correct version of V3a,"price_ngn,region_group,month_of_year,state_avg_price_pit",4.0
capacity-controlled (CV-selected on V0),V3b,"+ state_avg_price_pit (this state's average price, strictly-prior months only)",234.4549,16.0221,233.3232,3.6852,226.1948,241.9752,15.9769,0.2457,15.5362,16.553,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",point-in-time-correct version of V3a,"price_ngn,region_group,month_of_year,state_avg_price_pit",4.0
