task,configuration,rung,description,feature_set,n_features,MAE_mean,MAE_sd,MAE_min,MAE_max,MAPE_mean,MAPE_sd,n_seeds
nyc,reference (no model fitted),REF_mean,reference: predict the training mean trip duration for every test row,,,646.963,3.0473,641.7781,649.8334,210.0233,2.2737,5
nyc,reference (no model fitted),REF_heuristic,reference: trip distance / the training set's average speed,,,548.6071,2.65,544.3228,551.526,46.7433,1.1723,5
nyc,"original (untuned, 300 trees)",V0,"raw baseline: pickup hour, raw zone id, distance, passenger count -- un-gated source (negative fares / non-positive durations / implausible distances all still present)","pickup_hour,pickup_zone_raw,trip_distance_miles,passenger_count",4,337.6391,2.083,334.5269,339.586,78.0921,1.7086,5
nyc,capacity-controlled (CV-selected on V0),V0,"raw baseline: pickup hour, raw zone id, distance, passenger count -- un-gated source (negative fares / non-positive durations / implausible distances all still present)","pickup_hour,pickup_zone_raw,trip_distance_miles,passenger_count",4,337.3219,2.1902,334.1656,339.7582,77.5639,2.417,5
nyc,"original (untuned, 300 trees)",V1,"quality-gated: identical shape of features, sourced from fact_trip after the quality gate (748,565 of 41,169,720 rows rejected, 1.82%)","pickup_hour,pickup_geo_key,trip_distance_miles,passenger_count",4,336.3589,2.2022,333.0533,339.2026,74.5251,2.4966,5
nyc,capacity-controlled (CV-selected on V0),V1,"quality-gated: identical shape of features, sourced from fact_trip after the quality gate (748,565 of 41,169,720 rows rejected, 1.82%)","pickup_hour,pickup_geo_key,trip_distance_miles,passenger_count",4,335.991,2.2593,332.6085,338.8797,73.5801,2.4833,5
nyc,"original (untuned, 300 trees)",V2,"+ dimensional features: borough, service_zone (dim_geography), day_of_week, is_weekend (dim_date) -- in place of the raw zone code","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend",7,330.4769,2.2656,326.7962,333.0111,72.3969,2.1335,5
nyc,capacity-controlled (CV-selected on V0),V2,"+ dimensional features: borough, service_zone (dim_geography), day_of_week, is_weekend (dim_date) -- in place of the raw zone code","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend",7,330.7674,2.261,327.0927,333.2534,72.0043,2.4653,5
nyc,"original (untuned, 300 trees)",V3a,"LEAKY, DO NOT TRUST THIS NUMBER: + zone_hour_avg_duration_leaky (this zone/hour's average duration over ALL months, including future ones)","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend,zone_hour_avg_duration_leaky",8,325.7728,2.2277,322.1835,328.3319,70.7649,1.7869,5
nyc,capacity-controlled (CV-selected on V0),V3a,"LEAKY, DO NOT TRUST THIS NUMBER: + zone_hour_avg_duration_leaky (this zone/hour's average duration over ALL months, including future ones)","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend,zone_hour_avg_duration_leaky",8,325.8635,2.2362,322.2631,328.4504,70.3233,2.0462,5
nyc,"original (untuned, 300 trees)",V3b,"+ zone_hour_avg_duration_pit (zone/hour average duration, strictly-prior months only)","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend,zone_hour_avg_duration_pit",8,327.7974,2.2153,324.0696,329.9871,74.2208,1.8857,5
nyc,capacity-controlled (CV-selected on V0),V3b,"+ zone_hour_avg_duration_pit (zone/hour average duration, strictly-prior months only)","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend,zone_hour_avg_duration_pit",8,328.1003,2.2527,324.5047,330.68,73.8386,1.8933,5
nyc,"original (untuned, 300 trees)",V4a,"+ pickup zone identity, ONE-HOT encoded (scipy.sparse)","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend,zone_hour_avg_duration_pit,pickup_geo_key (one-hot, up to 265 categories)",8 + up to 265 one-hot columns (varies by seed's realised zone set),324.1047,2.2386,320.5067,326.5581,75.282,1.7668,5
nyc,capacity-controlled (CV-selected on V0),V4a,"+ pickup zone identity, ONE-HOT encoded (scipy.sparse)","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend,zone_hour_avg_duration_pit,pickup_geo_key (one-hot, up to 265 categories)",8 + up to 265 one-hot columns (varies by seed's realised zone set),323.4562,2.1404,320.1615,326.01,74.3616,2.0076,5
nyc,"original (untuned, 300 trees)",V4b,"+ pickup zone identity, POINT-IN-TIME TARGET encoded (1 numeric column)","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend,zone_hour_avg_duration_pit,zone_target_enc",9,328.6658,3.3401,324.072,332.9442,76.7496,3.3482,5
nyc,capacity-controlled (CV-selected on V0),V4b,"+ pickup zone identity, POINT-IN-TIME TARGET encoded (1 numeric column)","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend,zone_hour_avg_duration_pit,zone_target_enc",9,329.3597,3.833,323.9978,334.2973,76.4272,3.3495,5
nyc,"original (untuned, 300 trees)",V5,"+ external enrichment: precipitation_mm, temp_max_c (fact_weather_daily, joined on pickup date)","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend,zone_hour_avg_duration_pit,zone_target_enc,precipitation_mm,temp_max_c",11,331.9576,3.1528,326.8801,334.7404,77.3396,3.3594,5
nyc,capacity-controlled (CV-selected on V0),V5,"+ external enrichment: precipitation_mm, temp_max_c (fact_weather_daily, joined on pickup date)","pickup_hour,trip_distance_miles,passenger_count,borough,service_zone,day_of_week,is_weekend,zone_hour_avg_duration_pit,zone_target_enc,precipitation_mm,temp_max_c",11,332.4944,2.6753,328.4535,335.387,77.6691,3.2611,5
