configuration,rung,mae_all_months,ref_mae_all_months,rung_mae_fm202512,ref_mae_fm202512,rung_mae_fm202601,ref_mae_fm202601,rung_mae_fm202602,ref_mae_fm202602,rung_mae_fm202603,ref_mae_fm202603,rung_mae_fm202604,ref_mae_fm202604,n_months_ref_better_of_5,n_states_ref_better_of_37
"original (untuned, 300 trees)",V0,159.8349,129.302,57.4128,51.7033,48.2764,50.033,222.8898,237.0699,307.5167,244.3841,163.0788,63.3196,3,35
"original (untuned, 300 trees)",V1,159.8349,129.302,57.4128,51.7033,48.2764,50.033,222.8898,237.0699,307.5167,244.3841,163.0788,63.3196,3,35
"original (untuned, 300 trees)",V2,197.1838,129.302,59.9061,51.7033,50.705,50.033,207.3007,237.0699,311.5189,244.3841,356.4882,63.3196,4,37
"original (untuned, 300 trees)",V3a,219.456,129.302,73.0629,51.7033,61.1873,50.033,165.2939,237.0699,299.1063,244.3841,498.6296,63.3196,4,37
"original (untuned, 300 trees)",V3b,207.3969,129.302,54.7329,51.7033,71.5831,50.033,138.306,237.0699,326.4711,244.3841,445.8913,63.3196,4,37
"original (untuned, 300 trees)",V4a,213.3385,129.302,50.9042,51.7033,41.5453,50.033,167.598,237.0699,339.9511,244.3841,466.694,63.3196,2,37
"original (untuned, 300 trees)",V4b,212.7629,129.302,53.4956,51.7033,81.6041,50.033,136.1786,237.0699,341.8331,244.3841,450.7033,63.3196,4,37
capacity-controlled (CV-selected on V0),V0,206.8652,129.302,46.8701,51.7033,37.9759,50.033,247.8651,237.0699,379.7406,244.3841,321.8744,63.3196,3,37
capacity-controlled (CV-selected on V0),V1,206.8652,129.302,46.8701,51.7033,37.9759,50.033,247.8651,237.0699,379.7406,244.3841,321.8744,63.3196,3,37
capacity-controlled (CV-selected on V0),V2,258.4161,129.302,53.5412,51.7033,51.3015,50.033,273.3144,237.0699,431.4652,244.3841,482.4582,63.3196,5,37
capacity-controlled (CV-selected on V0),V3a,245.7298,129.302,47.2051,51.7033,46.0872,50.033,263.3969,237.0699,406.9879,244.3841,464.9718,63.3196,3,37
capacity-controlled (CV-selected on V0),V3b,233.3232,129.302,46.8345,51.7033,39.7393,50.033,217.1572,237.0699,388.2776,244.3841,474.6072,63.3196,2,37
capacity-controlled (CV-selected on V0),V4a,237.1826,129.302,46.6362,51.7033,35.0983,50.033,244.831,237.0699,393.3588,244.3841,465.9887,63.3196,3,37
capacity-controlled (CV-selected on V0),V4b,236.574,129.302,46.5255,51.7033,38.2967,50.033,231.6677,237.0699,392.5658,244.3841,473.8145,63.3196,2,37
