variant,rung,mae_mean_original,mae_mean_refit,abs_diff_mae_mean,exact_match,row_presence
capacity-controlled (CV-selected on V0),V0,337.3219,337.3219,0.0,True,both
capacity-controlled (CV-selected on V0),V1,335.991,335.991,0.0,True,both
capacity-controlled (CV-selected on V0),V2,330.7674,330.7674,0.0,True,both
capacity-controlled (CV-selected on V0),V3a,325.8635,325.8635,0.0,True,both
capacity-controlled (CV-selected on V0),V3b,328.1003,328.1003,0.0,True,both
capacity-controlled (CV-selected on V0),V4a,323.4562,323.4562,0.0,True,both
capacity-controlled (CV-selected on V0),V4b,329.3597,329.3597,0.0,True,both
capacity-controlled (CV-selected on V0),V5,332.4944,332.4944,0.0,True,both
"original (untuned, 300 trees)",V0,337.6391,337.6391,0.0,True,both
"original (untuned, 300 trees)",V1,336.3589,336.3589,0.0,True,both
"original (untuned, 300 trees)",V2,330.4769,330.4769,0.0,True,both
"original (untuned, 300 trees)",V3a,325.7728,325.7728,0.0,True,both
"original (untuned, 300 trees)",V3b,327.7974,327.7974,0.0,True,both
"original (untuned, 300 trees)",V4a,324.1047,324.1047,0.0,True,both
"original (untuned, 300 trees)",V4b,328.6658,328.6658,0.0,True,both
"original (untuned, 300 trees)",V5,331.9576,331.9576,0.0,True,both
reference (no model fitted),REF_heuristic,548.6071,548.6071,0.0,True,both
reference (no model fitted),REF_mean,646.963,646.963,0.0,True,both
