configuration,price_ngn,predicted_next_price,random_walk_price
"original (untuned, 300 trees)",550,666.5034949596628,550.0
"original (untuned, 300 trees)",555,666.5034949596628,555.0
"original (untuned, 300 trees)",560,666.5034949596628,560.0
"original (untuned, 300 trees)",565,666.5034949596628,565.0
"original (untuned, 300 trees)",570,666.5034949596628,570.0
"original (untuned, 300 trees)",575,666.5034949596628,575.0
"original (untuned, 300 trees)",580,666.5034949596628,580.0
"original (untuned, 300 trees)",585,666.5034949596628,585.0
"original (untuned, 300 trees)",590,666.5034949596628,590.0
"original (untuned, 300 trees)",595,666.5034949596628,595.0
"original (untuned, 300 trees)",600,666.5034949596628,600.0
"original (untuned, 300 trees)",605,666.5034949596628,605.0
"original (untuned, 300 trees)",610,666.5034949596628,610.0
"original (untuned, 300 trees)",615,666.5034949596628,615.0
"original (untuned, 300 trees)",620,666.5034949596628,620.0
"original (untuned, 300 trees)",625,666.5034949596628,625.0
"original (untuned, 300 trees)",630,666.5034949596628,630.0
"original (untuned, 300 trees)",635,667.2139341464307,635.0
"original (untuned, 300 trees)",640,672.6999485514077,640.0
"original (untuned, 300 trees)",645,676.0480559662109,645.0
"original (untuned, 300 trees)",650,671.4496319877334,650.0
"original (untuned, 300 trees)",655,666.4149019211583,655.0
"original (untuned, 300 trees)",660,669.9065259696796,660.0
"original (untuned, 300 trees)",665,683.4831862062666,665.0
"original (untuned, 300 trees)",670,687.9474182084183,670.0
"original (untuned, 300 trees)",675,687.1019034891268,675.0
"original (untuned, 300 trees)",680,739.9505108216523,680.0
"original (untuned, 300 trees)",685,702.4789093117731,685.0
"original (untuned, 300 trees)",690,758.5808878658718,690.0
"original (untuned, 300 trees)",695,723.6620052648897,695.0
"original (untuned, 300 trees)",700,774.767236343001,700.0
"original (untuned, 300 trees)",705,775.6097803816359,705.0
"original (untuned, 300 trees)",710,728.7029286405392,710.0
"original (untuned, 300 trees)",715,788.3735737528641,715.0
"original (untuned, 300 trees)",720,773.2669108687173,720.0
"original (untuned, 300 trees)",725,753.072876701857,725.0
"original (untuned, 300 trees)",730,753.072876701857,730.0
"original (untuned, 300 trees)",735,781.5840654180416,735.0
"original (untuned, 300 trees)",740,781.5840654180416,740.0
"original (untuned, 300 trees)",745,765.9704752429416,745.0
"original (untuned, 300 trees)",750,813.5624174513487,750.0
"original (untuned, 300 trees)",755,805.649713144936,755.0
"original (untuned, 300 trees)",760,805.649713144936,760.0
"original (untuned, 300 trees)",765,815.0078421317484,765.0
"original (untuned, 300 trees)",770,778.1263011866494,770.0
"original (untuned, 300 trees)",775,769.1673394658194,775.0
"original (untuned, 300 trees)",780,798.7521336695806,780.0
"original (untuned, 300 trees)",785,784.1149697075585,785.0
"original (untuned, 300 trees)",790,773.0501908684175,790.0
"original (untuned, 300 trees)",795,782.9832811734129,795.0
"original (untuned, 300 trees)",800,761.1659910490113,800.0
"original (untuned, 300 trees)",805,838.4904309656555,805.0
"original (untuned, 300 trees)",810,810.9121139178652,810.0
"original (untuned, 300 trees)",815,810.9121139178652,815.0
"original (untuned, 300 trees)",820,844.7276255442794,820.0
"original (untuned, 300 trees)",825,844.7276255442794,825.0
"original (untuned, 300 trees)",830,888.7639428429089,830.0
"original (untuned, 300 trees)",835,888.7639428429089,835.0
"original (untuned, 300 trees)",840,888.7639428429089,840.0
"original (untuned, 300 trees)",845,975.1549310696752,845.0
"original (untuned, 300 trees)",850,975.1549310696752,850.0
"original (untuned, 300 trees)",855,977.3121921807324,855.0
"original (untuned, 300 trees)",860,977.3121921807324,860.0
"original (untuned, 300 trees)",865,957.631221820708,865.0
"original (untuned, 300 trees)",870,957.631221820708,870.0
"original (untuned, 300 trees)",875,964.9354258626828,875.0
"original (untuned, 300 trees)",880,964.9354258626828,880.0
"original (untuned, 300 trees)",885,1013.3756372063563,885.0
"original (untuned, 300 trees)",890,1017.0124348257899,890.0
"original (untuned, 300 trees)",895,1017.0124348257899,895.0
"original (untuned, 300 trees)",900,1017.0124348257899,900.0
"original (untuned, 300 trees)",905,989.1545172465067,905.0
"original (untuned, 300 trees)",910,989.1545172465067,910.0
"original (untuned, 300 trees)",915,989.1545172465067,915.0
"original (untuned, 300 trees)",920,985.1949123973276,920.0
"original (untuned, 300 trees)",925,971.0707872365135,925.0
"original (untuned, 300 trees)",930,995.4502306978744,930.0
"original (untuned, 300 trees)",935,1024.6140507269906,935.0
"original (untuned, 300 trees)",940,1028.8351803707621,940.0
"original (untuned, 300 trees)",945,951.8108681236813,945.0
"original (untuned, 300 trees)",950,951.8108681236813,950.0
"original (untuned, 300 trees)",955,972.6571100844454,955.0
"original (untuned, 300 trees)",960,1040.2094217104045,960.0
"original (untuned, 300 trees)",965,1062.4668824707496,965.0
"original (untuned, 300 trees)",970,994.0457080882934,970.0
"original (untuned, 300 trees)",975,997.1445411363412,975.0
"original (untuned, 300 trees)",980,996.0085581711734,980.0
"original (untuned, 300 trees)",985,1016.9823686249113,985.0
"original (untuned, 300 trees)",990,1045.5067806566208,990.0
"original (untuned, 300 trees)",995,1012.1577029214586,995.0
"original (untuned, 300 trees)",1000,1022.2593692105498,1000.0
"original (untuned, 300 trees)",1005,1062.5147416918742,1005.0
"original (untuned, 300 trees)",1010,1042.6543568017394,1010.0
"original (untuned, 300 trees)",1015,997.2686512836049,1015.0
"original (untuned, 300 trees)",1020,1023.6759634438051,1020.0
"original (untuned, 300 trees)",1025,1072.7110949172925,1025.0
"original (untuned, 300 trees)",1030,1032.570587428795,1030.0
"original (untuned, 300 trees)",1035,1050.401525338305,1035.0
"original (untuned, 300 trees)",1040,1021.862337752885,1040.0
"original (untuned, 300 trees)",1045,1073.4000571309675,1045.0
"original (untuned, 300 trees)",1050,1082.6945263761138,1050.0
"original (untuned, 300 trees)",1055,1042.6358662559771,1055.0
"original (untuned, 300 trees)",1060,1054.6264076251289,1060.0
"original (untuned, 300 trees)",1065,1053.8508926111874,1065.0
"original (untuned, 300 trees)",1070,1078.8627685746192,1070.0
"original (untuned, 300 trees)",1075,1112.3316489002273,1075.0
"original (untuned, 300 trees)",1080,1073.2395504186763,1080.0
"original (untuned, 300 trees)",1085,1125.7385962644023,1085.0
"original (untuned, 300 trees)",1090,1108.7077994389247,1090.0
"original (untuned, 300 trees)",1095,1081.4231893688998,1095.0
"original (untuned, 300 trees)",1100,1084.3548992367105,1100.0
"original (untuned, 300 trees)",1105,1123.568086797266,1105.0
"original (untuned, 300 trees)",1110,1114.7475254930291,1110.0
"original (untuned, 300 trees)",1115,1118.0096192491505,1115.0
"original (untuned, 300 trees)",1120,1108.9258150922542,1120.0
"original (untuned, 300 trees)",1125,1143.214408337194,1125.0
"original (untuned, 300 trees)",1130,1173.5007411412942,1130.0
"original (untuned, 300 trees)",1135,1087.8592153016564,1135.0
"original (untuned, 300 trees)",1140,1113.9480427075753,1140.0
"original (untuned, 300 trees)",1145,1175.9048263626573,1145.0
"original (untuned, 300 trees)",1150,1138.7448396338816,1150.0
"original (untuned, 300 trees)",1155,1166.0291950461808,1155.0
"original (untuned, 300 trees)",1160,1188.9739673182542,1160.0
"original (untuned, 300 trees)",1165,1158.6994652947849,1165.0
"original (untuned, 300 trees)",1170,1163.1286793780089,1170.0
"original (untuned, 300 trees)",1175,1220.7881306079937,1175.0
"original (untuned, 300 trees)",1180,1113.7959168962664,1180.0
"original (untuned, 300 trees)",1185,1134.4294960239806,1185.0
"original (untuned, 300 trees)",1190,1175.0047401522274,1190.0
"original (untuned, 300 trees)",1195,1176.2792538535277,1195.0
"original (untuned, 300 trees)",1200,1244.1739610369586,1200.0
"original (untuned, 300 trees)",1205,1235.935452746169,1205.0
"original (untuned, 300 trees)",1210,1235.935452746169,1210.0
"original (untuned, 300 trees)",1215,1233.3135585396162,1215.0
"original (untuned, 300 trees)",1220,1233.3135585396162,1220.0
"original (untuned, 300 trees)",1225,1128.9780391558131,1225.0
"original (untuned, 300 trees)",1230,1241.2948193928748,1230.0
"original (untuned, 300 trees)",1235,1260.5004455352619,1235.0
"original (untuned, 300 trees)",1240,1187.414427362148,1240.0
"original (untuned, 300 trees)",1245,1193.8730880470885,1245.0
"original (untuned, 300 trees)",1250,1193.8730880470885,1250.0
"original (untuned, 300 trees)",1255,1177.6074602040937,1255.0
"original (untuned, 300 trees)",1260,1308.6338708856536,1260.0
"original (untuned, 300 trees)",1265,1227.477962309064,1265.0
"original (untuned, 300 trees)",1270,1227.477962309064,1270.0
"original (untuned, 300 trees)",1275,1265.3792681834134,1275.0
"original (untuned, 300 trees)",1280,1191.893487569331,1280.0
"original (untuned, 300 trees)",1285,1199.2864581552988,1285.0
"original (untuned, 300 trees)",1290,1227.0708717186021,1290.0
"original (untuned, 300 trees)",1295,1199.7688377082645,1295.0
"original (untuned, 300 trees)",1300,1199.7688377082645,1300.0
"original (untuned, 300 trees)",1305,1215.7328494330206,1305.0
"original (untuned, 300 trees)",1310,1223.9551528877912,1310.0
"original (untuned, 300 trees)",1315,1223.9551528877912,1315.0
"original (untuned, 300 trees)",1320,1223.9551528877912,1320.0
"original (untuned, 300 trees)",1325,1285.022431911923,1325.0
"original (untuned, 300 trees)",1330,1285.022431911923,1330.0
"original (untuned, 300 trees)",1335,1285.022431911923,1335.0
"original (untuned, 300 trees)",1340,1285.022431911923,1340.0
"original (untuned, 300 trees)",1345,1285.022431911923,1345.0
"original (untuned, 300 trees)",1350,1261.8658699500468,1350.0
"original (untuned, 300 trees)",1355,1261.8658699500468,1355.0
"original (untuned, 300 trees)",1360,1261.8658699500468,1360.0
"original (untuned, 300 trees)",1365,1232.6243516870688,1365.0
"original (untuned, 300 trees)",1370,1232.6243516870688,1370.0
