band,band_lo,band_hi,n_train_rows,mean_next_target_train,n_test_rows,mean_next_actual_test
"[500, 600)",500,600,0,,0,
"[600, 700)",600,700,197,696.8216,0,
"[700, 800)",700,800,122,782.1342,0,
"[800, 900)",800,900,44,926.0081,0,
"[900, 1000)",900,1000,101,1010.3979,14,1056.0199
"[1000, 1100)",1000,1100,224,1062.4179,86,1128.5466
"[1100, 1200)",1100,1200,117,1149.5851,14,1255.511
"[1200, 1300)",1200,1300,60,1211.0553,18,1555.7725
"[1300, 1400)",1300,1400,24,1236.2113,15,1509.9134
"[1400, 1500)",1400,1500,16,1415.2581,9,1522.2973
"[1500, 1600)",1500,1600,14,1382.2116,29,1616.4187
"[1600, 1700)",1600,1700,4,1563.7611,0,
"[1700, 1800)",1700,1800,2,1633.9213,0,
